stationname,latitude,longitude
Union St & 4 Ave,40.6773,-73.9828
1 Ave & E 16 St,40.7322,-73.9817
W 37 St & 5 Ave,40.7504,-73.9834
Greenwich Ave & 8 Ave,40.739,-74.0026
E 47 St & 1 Ave,40.7521,-73.9678
E 89 St & York Ave,40.7779,-73.946
West Thames St,40.7083,-74.0171
Lewis Ave & Kosciuszko St,40.6924,-73.9371
Cambridge Pl & Gates Ave,40.6849,-73.963
4 Ave & 2 St,40.6746,-73.985
Broadway & W 41 St,40.7551,-73.9866
Center Blvd & Borden Ave,40.7416,-73.9604
W 74 St & Columbus Ave,40.7786,-73.9775
E 80 St & 2 Ave,40.7739,-73.9544
Bergen St & Flatbush Ave,40.6809,-73.9757
Stagg St & Union Ave,40.7088,-73.951
3 St & 3 Ave,40.6751,-73.9878
W 43 St & 6 Ave,40.7553,-73.9832
Allen St & Hester St,40.7161,-73.9919
Douglass St & 3 Ave,40.6802,-73.9843
Central Park S & 6 Ave,40.7659,-73.9763
Riverside Dr & W 82 St,40.7872,-73.9813
E 32 St & Park Ave,40.7457,-73.9819
3 St & 7 Ave,40.6704,-73.9784
Division Ave & Hooper St,40.7069,-73.9544
Monroe St & Tompkins Ave,40.6862,-73.9447
Cliff St & Fulton St,40.7082,-74.0053
Franklin Ave & Myrtle Ave,40.6945,-73.9581
W 89 St & Columbus Ave,40.7882,-73.9704
Nassau Ave & Russell St,40.7256,-73.9443
Boerum St & Broadway,40.7054,-73.9498
Richardson St & N Henry St,40.7191,-73.9422
Yankee Ferry Terminal,40.6869,-74.017
5 Ave & 3 St,40.6728,-73.9835
Murray St & West St,40.715,-74.013
E 25 St & 1 Ave,40.7382,-73.9774
W 59 St & 10 Ave,40.7705,-73.988
Columbia St & Lorraine St,40.6747,-74.0076
W 13 St & 5 Ave,40.7354,-73.9945
E 88 St & 1 Ave,40.7783,-73.9488
Market St & Cherry St,40.7108,-73.994
W 87 St & West End Ave,40.7903,-73.9771
Lafayette St & Jersey St N,40.7246,-73.9957
W 31 St & 7 Ave,40.7492,-73.9916
Berkeley Pl & 7 Ave,40.6751,-73.9752
E 74 St & 1 Ave,40.769,-73.9548
3 Ave & E 100 St,40.7877,-73.9473
Broadway & W 60 St,40.7692,-73.9819
Lewis Ave & Decatur St,40.6815,-73.9349
E 95 St & 3 Ave,40.7849,-73.9505
Albany Ave & Fulton St,40.68,-73.9385
DeKalb Ave & Hudson Ave,40.6899,-73.981
Washington Park,40.6918,-73.9737
W 27 St & 7 Ave,40.7466,-73.9939
Cumberland St & Lafayette Ave,40.6875,-73.9727
Lafayette St & Jersey St,40.7246,-73.9957
E 85 St & 3 Ave,40.778,-73.9541
W 107 St & Columbus Ave,40.7998,-73.9621
John St & William St,40.7086,-74.0072
Greenwich St & N Moore St,40.7204,-74.0102
Myrtle Ave & St Edwards St,40.6933,-73.977
Canal St & Rutgers St,40.7143,-73.9899
W 38 St & 8 Ave,40.7547,-73.9914
Cadman Plaza West & Montague St,40.6938,-73.9905
Columbus Drive,40.7184,-74.0389
York St & Jay St,40.7015,-73.9866
W 20 St & 11 Ave,40.7467,-74.0078
21 St & 43 Ave,40.7505,-73.9459
Reed St & Van Brunt St,40.6748,-74.0161
Nassau Ave & Newell St,40.7248,-73.9475
Riverside Dr & W 104 St,40.8013,-73.9711
E 17 St & Broadway,40.737,-73.9901
Duffield St & Willoughby St,40.6922,-73.9843
Catherine St & Monroe St,40.7112,-73.9968
Fulton St & Grand Ave,40.6822,-73.9615
Union Ave & N 12 St,40.7192,-73.9524
W 18 St & 6 Ave,40.7397,-73.9946
Fulton St & Washington Ave,40.683,-73.9649
3 Ave & E 62 St,40.7631,-73.9653
Van Brunt St & Wolcott St,40.6773,-74.0128
