stationname,latitude,longitude
Broadway & W 24 St,40.7424,-73.9892
W 15 St & 10 Ave,40.7428,-74.0075
2 Ave & E 31 St,40.7429,-73.9771
47 Ave & 31 St,40.743,-73.9356
Lexington Ave & E 29 St,40.7431,-73.9822
9 Ave & W 18 St,40.7432,-74.0037
W 16 St & The High Line,40.7433,-74.0068
W 20 St & 8 Ave,40.7435,-74
E 31 St & 3 Ave,40.7439,-73.9797
E 33 St & 2 Ave,40.744,-73.9761
W 25 St & 6 Ave,40.744,-73.9914
FDR Drive & E 35 St,40.7442,-73.9712
E 30 St & Park Ave S,40.7444,-73.983
48 Ave & 5 St,40.7444,-73.9559
31 St & Thomson Ave,40.7447,-73.9354
W 22 St & 8 Ave,40.7448,-73.9992
W 24 St & 7 Ave,40.7449,-73.9953
Jackson Ave & 46 Rd,40.7452,-73.9473
5 Ave & E 29 St,40.7452,-73.9868
9 Ave & W 22 St,40.7455,-74.002
E 32 St & Park Ave,40.7457,-73.9819
Broadway & W 29 St,40.7462,-73.9886
E 35 St & 3 Ave,40.7465,-73.9779
W 27 St & 7 Ave,40.7466,-73.9939
W 20 St & 11 Ave,40.7467,-74.0078
W 22 St & 10 Ave,40.7469,-74.0045
45 Rd & 11 St,40.7471,-73.9498
44 Dr & Jackson Ave,40.7472,-73.9433
W 26 St & 8 Ave,40.7473,-73.9972
46 Ave & 5 St,40.7473,-73.9545
E 33 St & 5 Ave,40.7477,-73.9849
E 39 St & 2 Ave,40.7478,-73.9734
Broadway & W 32 St,40.7485,-73.9881
E 39 St & 3 Ave,40.7489,-73.976
6 Ave & W 33 St,40.749,-73.9885
W 31 St & 7 Ave,40.7492,-73.9916
9 Ave & W 28 St,40.7494,-73.9992
9 St & 44 Rd,40.7497,-73.9521
W 26 St & 10 Ave,40.7497,-74.003
1 Ave & E 44 St,40.75,-73.9691
W 33 St & 7 Ave,40.7502,-73.9909
W 27 St & 10 Ave,40.7502,-74.0022
W 37 St & 5 Ave,40.7504,-73.9834
21 St & 43 Ave,40.7505,-73.9459
8 Ave & W 31 St,40.7506,-73.9947
Broadway & W 36 St,40.751,-73.9877
Queens Plaza North & Crescent St,40.7511,-73.9407
E 44 St & 2 Ave,40.7512,-73.9714
11 Ave & W 27 St,40.7514,-74.0052
8 Ave & W 33 St,40.7516,-73.9939
Pershing Square South,40.7516,-73.9779
Broadway & W 37 St,40.7517,-73.9875
Pershing Square North,40.7519,-73.9777
E 40 St & 5 Ave,40.7521,-73.9816
E 47 St & 1 Ave,40.7521,-73.9678
E 41 St & Madison Ave,40.7522,-73.9799
W 37 St & Broadway,40.7523,-73.9877
E 45 St & 3 Ave,40.7526,-73.9728
24 St & 41 Ave,40.7527,-73.9397
10 Hudson Yards,40.753,-74.0026
37 Ave & 35 St,40.7531,-73.928
E 47 St & 2 Ave,40.7532,-73.9703
21 St & Queens Plaza North,40.7533,-73.9434
W 36 St & 9 Ave,40.7546,-73.9952
E 51 St & 1 Ave,40.7546,-73.9659
E 48 St & 3 Ave,40.7546,-73.9719
W 38 St & 8 Ave,40.7547,-73.9914
28 St & 38 Ave,40.7549,-73.9343
W 44 St & 5 Ave,40.755,-73.9801
E 47 St & Park Ave,40.7551,-73.975
Broadway & W 41 St,40.7551,-73.9866
Vernon Blvd & 41 Rd,40.7552,-73.9486
W 43 St & 6 Ave,40.7553,-73.9832
35 Ave & 37 St,40.7557,-73.9237
W 34 St & 11 Ave,40.7559,-74.0021
E 52 St & 2 Ave,40.756,-73.9674
W 41 St & 8 Ave,40.7564,-73.99
W 37 St & 10 Ave,40.7566,-73.9979
W 45 St & 6 Ave,40.7567,-73.9826
34 Ave & 38 St,40.7569,-73.9216
34 St & 35 Ave,40.7569,-73.9262
E 51 St & Lexington Ave,40.7571,-73.9721
E 48 St & 5 Ave,40.7572,-73.9781
28 St & 36 Ave,40.7572,-73.9327
W 42 St & 8 Ave,40.7576,-73.991
E 53 St & 3 Ave,40.7576,-73.9693
E 55 St & 2 Ave,40.758,-73.966
35 St & 34 Ave,40.7581,-73.9243
E 58 St & 1 Ave,40.7589,-73.9623
W 42 St & Dyer Ave,40.759,-73.9938
E 55 St & 3 Ave,40.759,-73.9687
NYCBS Depot BAL - DYR,40.759,-73.9939
E 60 St & York Ave,40.7591,-73.9592
W 45 St & 8 Ave,40.7593,-73.9886
Crescent St & 35 Ave,40.7596,-73.9321
Newton Rd & 44 St,40.7596,-73.9143
E 55 St & Lexington Ave,40.7597,-73.9703
E 53 St & Madison Ave,40.7597,-73.974
W 52 St & 5 Ave,40.7599,-73.9765
W 43 St & 10 Ave,40.7601,-73.9946
9 Ave & W 45 St,40.7602,-73.9913
21 St & 36 Ave,40.7602,-73.9363
11 Ave & W 41 St,40.7603,-73.9988
Broadway & W 49 St,40.7607,-73.9845
12 Ave & W 40 St,40.7609,-74.0028
E 58 St & 3 Ave,40.761,-73.9672
1 Ave & E 62 St,40.7612,-73.9609
W 52 St & 6 Ave,40.7613,-73.9798
36 Ave & 10 St,40.7614,-73.9411
31 St & Broadway,40.7616,-73.9259
W 49 St & 8 Ave,40.7623,-73.9879
Broadway & W 51 St,40.7623,-73.9834
W 47 St & 10 Ave,40.7627,-73.993
11 St & 35 Ave,40.7627,-73.9391
34 Ave & 21 St,40.7628,-73.9343
E 58 St & Madison Ave,40.763,-73.9721
W 55 St & 6 Ave,40.7631,-73.9784
3 Ave & E 62 St,40.7631,-73.9653
31 Ave & 34 St,40.7632,-73.9208
Crescent St & Broadway,40.7634,-73.9286
Broadway & W 53 St,40.7634,-73.9827
W 46 St & 11 Ave,40.7634,-73.9967
E 59 St & Madison Ave,40.7635,-73.9711
8 Ave & W 52 St,40.7637,-73.9852
34 Ave & 13 St,40.7639,-73.9365
Lexington Ave & E 63 St,40.7644,-73.9665
Grand Army Plaza & Central Park S,40.7644,-73.9737
W 52 St & 9 Ave,40.7646,-73.9879
31 Ave & 30 St,40.7647,-73.924
E 65 St & 2 Ave,40.7647,-73.9622
1 Ave & E 68 St,40.765,-73.9582
Broadway & W 56 St,40.7653,-73.9819
W 54 St & 9 Ave,40.7658,-73.9869
31 Ave & Crescent St,40.7658,-73.9265
21 St & 31 Dr,40.7659,-73.9308
Central Park S & 6 Ave,40.7659,-73.9763
5 Ave & E 63 St,40.7664,-73.9715
E 72 St & York Ave,40.7666,-73.9535
W 53 St & 10 Ave,40.7667,-73.9906
Broadway & 12 St,40.7668,-73.9348
Broadway & W 58 St,40.767,-73.9817
E 71 St & 1 Ave,40.767,-73.9562
E 68 St & 3 Ave,40.7671,-73.9622
Vernon Blvd & 10 St,40.7672,-73.9374
W 52 St & 11 Ave,40.7673,-73.9939
E 67 St & Park Ave,40.7678,-73.9659
E 66 St & Madison Ave,40.768,-73.9685
W 56 St & 10 Ave,40.7683,-73.9886
3 Ave & E 71 St,40.7687,-73.9612
E 74 St & 1 Ave,40.769,-73.9548
Vernon Blvd & 31 Ave,40.7692,-73.9355
E 68 St & Madison Ave,40.7692,-73.967
Broadway & W 60 St,40.7692,-73.9819
3 Ave & E 72 St,40.7699,-73.9606
W 59 St & 10 Ave,40.7705,-73.988
Vernon Blvd & 30 Rd,40.7708,-73.9342
E 75 St & 3 Ave,40.7711,-73.9577
E 72 St & Park Ave,40.7712,-73.9641
1 Ave & E 78 St,40.7714,-73.9535
11 Ave & W 59 St,40.7715,-73.9905
W 63 St & Broadway,40.7716,-73.9826
E 76 St & 3 Ave,40.7722,-73.9584
E 82 St & East End Ave,40.7725,-73.9468
E 81 St & York Ave,40.7728,-73.9499
5 Ave & E 73 St,40.7728,-73.9669
